name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost_for_two,meal_type,city
Cafe Crumb'z,No,No,3.3,4,Electronic City,"Cafe, Dessert Parlor",Unknown,"Cafe, Beverages, Fast Food",300,Cafes,Electronic City
Chef Baker's,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600,Cafes,Electronic City
Cuppa,Yes,No,3.0,119,Electronic City,Cafe,"French Fries, Veg Burger, Pancakes, English Breakfast, Omelette","Cafe, Fast Food, Continental",700,Cafes,Electronic City
Manasa Cool Cafe,Yes,No,3.2,7,Electronic City,Cafe,Unknown,"Fast Food, Juices, Cafe, Desserts",300,Cafes,Electronic City
Entree cafe,Yes,No,3.7,56,Electronic City,"Cafe, Bakery","Coffee, Burgers, French Fries","Cafe, Bakery, Desserts",400,Cafes,Electronic City
Cafe Coffee Day,No,No,3.7,28,Electronic City,Cafe,Unknown,"Cafe, Fast Food",900,Cafes,Electronic City
Magic Oven,No,No,4.0,134,Electronic City,"Cafe, Dessert Parlor","Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta","Cafe, Desserts",400,Cafes,Electronic City
The Hungry Shark Cafe,No,No,3.9,117,Electronic City,Cafe,"Nachos, Noodles, Burgers, Tea, Fries, Pasta, Chicken Burger","Cafe, Continental, Beverages",700,Cafes,Electronic City
KA 51 Restocafe,No,No,3.9,39,Electronic City,Cafe,Unknown,"Cafe, Mughlai",650,Cafes,Electronic City
Cafe HIGHRANGERS,Yes,No,3.3,4,Electronic City,Cafe,Unknown,"Cafe, Fast Food, Chinese",400,Cafes,Electronic City
24 Hours Coffee Drop - La Classic,No,No,3.4,9,Electronic City,Cafe,Unknown,Cafe,800,Cafes,Electronic City
The Chocolate Room,Yes,No,2.8,43,Electronic City,Cafe,Unknown,"Cafe, Beverages",600,Cafes,Electronic City
Lassi Adda,Yes,No,4.0,65,Electronic City,Beverage Shop,"Sweet Lassi, Corn Sandwich","Beverages, Sandwich, Fast Food",200,Delivery,Electronic City
Sitaar,Yes,Yes,3.8,88,Electronic City,Casual Dining,Unknown,"North Indian, Chinese",800,Delivery,Electronic City
FreshMenu,Yes,No,3.0,546,South Bangalore,Delivery,"Burgers, Salads, Lamb Burger, Noodles, Fish, Sandwich, Cheese Burger","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Electronic City
The Good Bowl,Yes,No,3.9,23,Electronic City,"Takeaway, Delivery",Unknown,"Italian, North Indian, Biryani",500,Delivery,Electronic City
Lassi Resto Cafe,Yes,No,3.7,152,Electronic City,"Beverage Shop, Quick Bites",Burgers,"Beverages, Fast Food",200,Delivery,Electronic City
Delhi Base Sri Food Court,Yes,No,3.9,505,Electronic City,Quick Bites,"Paratha, Biryani","North Indian, South Indian, Chinese, Street Food",250,Delivery,Electronic City
Wakhra Swaad,Yes,No,3.4,83,Electronic City,Quick Bites,"Tandoori Roti, Soya Chaap","North Indian, Biryani, Rolls, Beverages",300,Delivery,Electronic City
Indian Food Court,Yes,No,3.8,234,Electronic City,Quick Bites,"Paratha, Chicken Butter Masala, Chicken Parantha, Palak Paneer, Hariyali Chicken, Thali","North Indian, Chinese, Fast Food",400,Delivery,Electronic City
Maa Reddy's Hyderabadi Biryani House,Yes,No,3.0,50,Electronic City,Quick Bites,Unknown,"Biryani, Andhra, North Indian",500,Delivery,Electronic City
Fresh 'N' Grills,Yes,No,3.2,234,Electronic City,"Takeaway, Delivery",Aloo Paratha,"Sandwich, Salad, North Indian, Chinese",500,Delivery,Electronic City
New Punjabi Food Corner,Yes,Yes,4.0,960,Electronic City,Quick Bites,"Butter Chicken, Rumali Roti, Ghee Rice, Chicken Biryani, Panneer Butter Masala, Sweet Lassi, Lemon Chicken","North Indian, Chinese",500,Delivery,Electronic City
BOX8- Desi Meals,Yes,No,4.2,564,Electronic City,"Takeaway, Delivery","Butter Chicken, Dal Makhani, Brownie Chocolate, Sandwiches, Salad, Paratha, Rajma","North Indian, Mughlai, Fast Food",500,Delivery,Electronic City
Swad 'E' Punjab,Yes,No,3.6,216,Electronic City,Casual Dining,"Paneer Tikka, Butter Chicken, Paneer Kofta, Butter Naan, Panneer Butter Masala, Sweet Lassi, Masala Kulcha","North Indian, Chinese, Mughlai",500,Delivery,Electronic City
Popular Burger,Yes,No,4.1,150,Electronic City,Quick Bites,"Burgers, Chicken Burger, Chips, Veg Burger","Fast Food, Burger",200,Delivery,Electronic City
Moriz Restaurant,Yes,No,3.1,1365,Electronic City,Casual Dining,"Shawarma, Bbq Chicken, Biryani, Butter Chicken, Paneer Lababdar, Chicken Grill, Chicken Lazeez","Arabian, Seafood, North Indian, Chinese, BBQ, Biryani, Beverages",700,Delivery,Electronic City
Desi Dhaba,Yes,No,3.8,303,Electronic City,Quick Bites,Unknown,"Chinese, North Indian",300,Delivery,Electronic City
Amaravathi Mess,Yes,No,3.6,108,Electronic City,Quick Bites,Unknown,"Andhra, Biryani",400,Delivery,Electronic City
Burger King,Yes,No,3.8,560,Electronic City,Quick Bites,"Burgers, Chocolate Shake, Chicken Fries, Veg Whopper, Chicken Whopper, Veg Burger, Grilled Chicken Burger","Burger, Fast Food, Beverages",600,Delivery,Electronic City
Lassi Adda,Yes,No,4.0,65,Electronic City,Beverage Shop,"Sweet Lassi, Corn Sandwich","Beverages, Sandwich, Fast Food",200,Delivery,Electronic City
Godavari Delights,Yes,No,3.5,146,Electronic City,Casual Dining,Unknown,"Andhra, Biryani",700,Delivery,Electronic City
Dine Garden Family Restaurant,Yes,Yes,3.5,60,Electronic City,Quick Bites,Unknown,"Biryani, South Indian, North Indian, Chinese",400,Delivery,Electronic City
Onesta,Yes,Yes,4.5,860,Electronic City,"Casual Dining, Cafe","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600,Delivery,Electronic City
Insomniac's Delight,Yes,No,4.0,231,Electronic City,Delivery,"Poha, Burgers, Maggi, Sandwiches, Cheese Burger, Aloo Sandwich","Fast Food, North Indian",300,Delivery,Electronic City
Maa Reddy's Hyderabadi Biryani House,Yes,No,3.7,945,Electronic City,Quick Bites,"Hyderabadi Biryani, Chicken Biryani, Vegetable Biryani","Biryani, Andhra, North Indian",500,Delivery,Electronic City
Lassi Corner,Yes,No,3.5,154,Electronic City,Beverage Shop,Unknown,"Beverages, Desserts",300,Delivery,Electronic City
Paradise,Yes,No,4.0,2043,Electronic City,Casual Dining,"Mutton Biryani, Chicken Biryani, Mutton Seekh Kebab, Gajar Ka Halwa, Hyderabadi Biryani, Kebab Platter, Panneer Butter Masala","Biryani, North Indian, Kebab",800,Delivery,Electronic City
Biryani Darbar,Yes,No,3.6,539,Electronic City,Casual Dining,Paneer Biryani,"Biryani, Mughlai, North Indian",800,Delivery,Electronic City
Sri Pillaiyar Bhavan,Yes,No,4.0,117,Electronic City,Quick Bites,Egg Dosa,Chettinad,300,Delivery,Electronic City
Parathe Wali Gali,Yes,No,3.6,332,Electronic City,Quick Bites,"Paratha, Samosa, Paneer Parantha, Salad, Sweet Lassi, Dal Makhani, Raita","North Indian, Chinese",250,Delivery,Electronic City
Faasos,Yes,No,4.0,138,Hosur Road,Delivery,"Veggie Wrap, Chicken Wrap, Jumbo Chicken, Rolls, Chole","North Indian, Biryani, Fast Food",500,Delivery,Electronic City
Cafe Happytizing,Yes,No,4.1,351,Electronic City,Cafe,"Peri Peri Fries, Nachos, Pasta, Paratha, Peri Peri Chicken Pizza, Burgers, Noodles","Cafe, Sandwich, Pizza, North Indian, Mexican",700,Delivery,Electronic City
King,Yes,No,3.7,570,Electronic City,Quick Bites,Matar Paneer,"North Indian, Chinese",300,Delivery,Electronic City
Behrouz Biryani,Yes,No,4.1,349,Electronic City,Delivery,"Gulab Jamun, Chicken Biryani, Raita, Buttermilk, Haleem, Gosht Dum Biryani",Biryani,650,Delivery,Electronic City
Subway,Yes,No,3.9,145,Electronic City,Quick Bites,Unknown,"Salad, Fast Food",600,Delivery,Electronic City
New Udupi Palace,Yes,No,3.8,70,Electronic City,Quick Bites,Unknown,"South Indian, North Indian, Chinese, Street Food",350,Delivery,Electronic City
Hyderabadi Spice,Yes,No,4.0,593,Electronic City,Quick Bites,"Chicken Biryani, Hyderabadi Biryani","Hyderabadi, Andhra, Chinese, Biryani",400,Delivery,Electronic City
KFC,Yes,No,3.9,682,Electronic City,Quick Bites,"Burgers, Fries, Potato Krisper, Chicken Bucket, Chicken Popcorn, Hot Wings, Rice Bowl","Burger, Fast Food",450,Delivery,Electronic City
Pallavi Restaurant,Yes,Yes,3.8,490,Electronic City,Casual Dining,Biryani,"Biryani, Chinese, Andhra",500,Delivery,Electronic City
Foodies Family Restaurant,Yes,No,3.4,6,Electronic City,Quick Bites,Unknown,"North Indian, Chinese",300,Delivery,Electronic City
Kolkata Kitchen,Yes,No,3.2,231,Electronic City,Quick Bites,"Fish Thali, Chicken Curry, Chicken Biryani, Aalo Bhaja","North Indian, Fast Food, Biryani",400,Delivery,Electronic City
4Foodiez,Yes,No,3.7,82,Electronic City,Quick Bites,Unknown,"South Indian, North Indian, Chinese",300,Delivery,Electronic City
Salted Chilli,Yes,Yes,3.7,50,Electronic City,Casual Dining,Unknown,"Biryani, North Indian, Chinese",600,Delivery,Electronic City
Curries & Pickles,Yes,No,3.4,35,Electronic City,Quick Bites,Unknown,"Andhra, Biryani, Chinese",400,Delivery,Electronic City
Sitaar,Yes,Yes,3.8,88,Electronic City,Casual Dining,Unknown,"North Indian, Chinese",800,Delivery,Electronic City
Thalassery Restaurant,Yes,No,3.8,571,Electronic City,Casual Dining,"Thalassery Biryani, Chicken Tikka, Coffee, Tea, Tandoori Chicken, Ghee Rice, Appam","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600,Delivery,Electronic City
MDP Coffee House,Yes,No,3.8,62,Electronic City,Quick Bites,"Vada, Filter Coffee",South Indian,200,Delivery,Electronic City
Hot Attack,Yes,No,3.6,88,Electronic City,Quick Bites,"Chicken Grill, Shawarma, Coconut Juice","North Indian, Chinese, Biryani",400,Delivery,Electronic City
China Garden,Yes,No,3.6,25,Electronic City,Quick Bites,Unknown,"Chinese, North Indian",300,Delivery,Electronic City
Kaaram,Yes,No,3.4,52,Electronic City,Food Court,Kaaram Biryani,"Andhra, Biryani",500,Delivery,Electronic City
Hyderabad Magic,Yes,No,3.8,237,Electronic City,Quick Bites,"Chicken Biryani, Wings","Hyderabadi, Chinese, Biryani, Arabian",400,Delivery,Electronic City
Sri Manjunatha Foods,Yes,No,3.6,14,Electronic City,Quick Bites,Unknown,"South Indian, North Indian, Chinese",250,Delivery,Electronic City
Hyderabadi Biryaani Hub,Yes,No,2.7,17,Electronic City,"Takeaway, Delivery",Unknown,"Biryani, Fast Food",300,Delivery,Electronic City
Ruposhi Bangla,Yes,No,4.0,159,Electronic City,Quick Bites,"Fish, Egg Tadka, Kachori, Luchi","Bengali, Chinese, North Indian, Seafood",400,Delivery,Electronic City
Foodies Express,Yes,No,3.7,130,Electronic City,Quick Bites,"Naan, Shawarma, Chicken Grill, Noodles","Chinese, North Indian, Arabian, Biryani",400,Delivery,Electronic City
Pizza Hut,Yes,No,3.2,120,Electronic City,Quick Bites,Pizza,"Pizza, Fast Food",750,Delivery,Electronic City
Pizza Republic,Yes,No,3.8,270,Electronic City,Quick Bites,"Pasta, Potato Wedges, Ice Tea, Thin Crust Pizza, Supreme Pizza, Farm Pizza","Pizza, Fast Food",500,Delivery,Electronic City
Nainital North Indian Restaurant,Yes,No,3.5,73,Electronic City,Quick Bites,"Chole Bhature, Veg Thali",North Indian,400,Delivery,Electronic City
Pure Punjabi,Yes,No,3.4,275,Electronic City,Quick Bites,Noodles,"Chinese, North Indian, Fast Food",450,Delivery,Electronic City
7 Days Restaurant,Yes,No,3.8,478,Electronic City,Quick Bites,"Egg Noodles, Lamb Chops, Hyderabadi Chicken Dum Biryani, Gajar Ka Halwa, Al Faham Chicken, Fried Rice","North Indian, Chinese, Arabian",400,Delivery,Electronic City
Eat N Meet,Yes,No,2.7,158,Electronic City,Quick Bites,Unknown,"Kerala, South Indian, North Indian, Chinese, Beverages",500,Delivery,Electronic City
Lakshmi Rayalaseema Ruchilu,Yes,No,3.0,81,Electronic City,Casual Dining,Unknown,"Biryani, South Indian, Chinese",600,Delivery,Electronic City
Goli Vada Pav No. 1,Yes,No,2.9,78,Electronic City,Quick Bites,Masala Vada Pav,Street Food,150,Delivery,Electronic City
Frozen Bottle,Yes,No,4.1,209,Electronic City,"Beverage Shop, Dessert Parlor","Chips, Ferrero Rocher, Vanilla Ice Cream","Beverages, Desserts",400,Delivery,Electronic City
Vijayawada Heights,Yes,No,2.9,24,Electronic City,Casual Dining,Unknown,North Indian,600,Delivery,Electronic City
Chai Point,Yes,No,3.9,25,Electronic City,"Beverage Shop, Quick Bites",Unknown,"Tea, Beverages, Fast Food",250,Delivery,Electronic City
Lassi Mania,Yes,No,3.6,39,Electronic City,Beverage Shop,Unknown,"Beverages, Juices",200,Delivery,Electronic City
Doof,Yes,No,4.0,371,Electronic City,Delivery,"Pasta, Burgers, Wings, Fries","Fast Food, Beverages",450,Delivery,Electronic City
Pimento,Yes,No,3.7,95,Electronic City,Quick Bites,"Chicken Grill, Cheese Balls, Vegetable Noodles","Chinese, Fast Food, Italian",400,Delivery,Electronic City
Barbeque Delight,Yes,No,3.4,173,Electronic City,Casual Dining,"Chicken Grill, Chicken Shawarama, Tandoori Chicken, Chicken Biryani","Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",650,Delivery,Electronic City
The Rasoiya Street,Yes,Yes,4.2,1134,Electronic City,Casual Dining,"Buttermilk, Pasta, Achari Mushroom, Paneer Tikka, Nachos, Noodles, Baked Nacho","North Indian, Continental, Mediterranean, Chinese",800,Delivery,Electronic City
Ruchi Sagar,Yes,No,4.0,262,Electronic City,Quick Bites,"Badam Milk, Masala Dosa, Filter Coffee, Pav Bhaji, Noodles, Idli, Chole Bhature","South Indian, North Indian, Chinese, Juices",250,Delivery,Electronic City
New Andhra House,Yes,No,3.7,522,Electronic City,Casual Dining,"Hyderabadi Style Biryani, Pot Biryani, Andhra Style Biryani, Buttermilk, Guntur Chicken Biryani, Chicken Vepudu, Vegetable Biryani","Andhra, Biryani, Chinese, North Indian",450,Delivery,Electronic City
Andhra Food Cafe (AFC),Yes,No,3.3,46,Electronic City,Quick Bites,Unknown,"Andhra, North Indian, South Indian",250,Delivery,Electronic City
Firangi Bake,Yes,No,4.1,93,Electronic City,Delivery,"Lasagne, Garlic Bread, Steak","Mexican, Italian",600,Delivery,Electronic City
India Garden,Yes,No,3.3,211,Electronic City,Casual Dining,"Tandoori Chicken, Burgers","North Indian, Chinese, Fast Food, Beverages",550,Delivery,Electronic City
Royal Bengal Corner,Yes,No,3.8,307,Electronic City,Quick Bites,"Rolls, Paratha, Panneer Butter Masala","Chinese, Fast Food, North Indian, Rolls",250,Delivery,Electronic City
Tikka Kebab,Yes,No,3.7,69,Electronic City,Quick Bites,Unknown,"Kebab, North Indian, Chinese",250,Delivery,Electronic City
The Pastry House,Yes,No,3.8,60,Electronic City,Bakery,Unknown,"Bakery, Desserts",400,Delivery,Electronic City
Sri Krishna Sagar,Yes,No,3.5,9,Electronic City,Takeaway,Unknown,"South Indian, North Indian",300,Delivery,Electronic City
Laddoos,Yes,No,4.0,407,Electronic City,"Quick Bites, Sweet Shop","Panipuri, Chaat, Gol Gappe, Thali, Rasgulla, Dhokla, Raj Kachori","North Indian, Street Food, Mithai",250,Delivery,Electronic City
Andhra Kitchen,Yes,No,3.9,45,Electronic City,Quick Bites,Unknown,Andhra,400,Delivery,Electronic City
Food Ras,Yes,Yes,4.3,1386,Electronic City,Casual Dining,"Chicken Majestic, Lasagne, Hara Bhara Kabab, Lassi, Biryani, Paneer Tikka, Fish","North Indian, Chinese, Japanese, European, Seafood",900,Delivery,Electronic City
UBQ by Barbeque Nation,Yes,No,3.6,13,Electronic City,Delivery,Unknown,"North Indian, BBQ, Biryani, Kebab",450,Delivery,Electronic City
Ovenstory Pizza,Yes,No,4.0,55,Hosur Road,Delivery,"Pizza, Garlic Bread",Pizza,750,Delivery,Electronic City
Notebook Food Court,Yes,No,4.0,220,Electronic City,Quick Bites,Unknown,"Chinese, North Indian, Rolls",300,Delivery,Electronic City
11 to 11 Express Biriyanis,Yes,No,3.5,22,Electronic City,Quick Bites,Unknown,"Biryani, Kebab",300,Delivery,Electronic City
Magic Bowl,Yes,No,3.6,98,Electronic City,Casual Dining,Vegetable Biryani,"North Indian, Chinese, Arabian, Mughlai",700,Delivery,Electronic City
Maa Tara Hotel,Yes,No,3.8,50,Electronic City,Quick Bites,Unknown,"Chinese, North Indian",400,Delivery,Electronic City
NY Pizza & Waffles,Yes,No,3.1,273,Electronic City,Quick Bites,"Pizza, Waffles","Pizza, Desserts",400,Delivery,Electronic City
Sweet Truth,Yes,No,3.9,81,Electronic City,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Pancakes, Gulab Jamun, Chocolava Cake","Bakery, Desserts",500,Delivery,Electronic City
Just Fresh Point,Yes,No,4.0,162,Electronic City,Quick Bites,"Sandwiches, Chaat, Rasmalai, Pizza, Ginger Tea, Sandwich, Paratha","Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",300,Delivery,Electronic City
Khana Khazana,Yes,No,3.6,15,Electronic City,Quick Bites,Unknown,North Indian,300,Delivery,Electronic City
This Cafe Has No Name Cafe,Yes,No,3.2,79,Electronic City,Cafe,"Sandwiches, Rolls, Coffee, Burgers, French Fries","Cafe, Beverages",500,Delivery,Electronic City
MAD Belgian Waffles,Yes,No,3.8,12,Electronic City,Dessert Parlor,Unknown,Desserts,250,Delivery,Electronic City
Pan's Aroma,Yes,No,2.9,244,Electronic City,Quick Bites,Unknown,"Bengali, Biryani, North Indian, Chinese, Fast Food",400,Delivery,Electronic City
Bawarchi Restaurant,Yes,No,2.7,53,Electronic City,"Takeaway, Delivery",Unknown,"North Indian, Chinese, Biryani, Rolls",400,Delivery,Electronic City
Ande Ka Funda,Yes,No,3.4,16,Electronic City,Quick Bites,Unknown,"North Indian, Fast Food, Rolls",200,Delivery,Electronic City
Samosa Singh,Yes,No,4.0,426,Electronic City,Quick Bites,"Samosa Chat, Tea, Aloo Samosa, Chai, Ginger Paneer, Burger Samosa, Chicken Kebab","Street Food, Beverages",150,Delivery,Electronic City
Biriyani Zone,Yes,No,3.9,678,Electronic City,Casual Dining,"Mutton Biryani, Tandoori Chicken, Butter Naan, Fish, Butter Chicken, Chicken Boneless Biryani, Vegetable Biryani","Biryani, North Indian, Chinese, Seafood",800,Delivery,Electronic City
Volga Restaurant,Yes,No,3.7,294,Electronic City,Casual Dining,"Kerala Parotta, Tandoori Chicken","North Indian, Chinese, Middle Eastern",500,Delivery,Electronic City
The Elaichi Restaurant,Yes,No,3.6,399,Electronic City,Casual Dining,"Momos, Butter Chicken, Fish, Rolls, Laccha Paratha, Salad, Tandoori Chicken","North Indian, Asian, Continental, Bengali, Momos",700,Delivery,Electronic City
Fishing Boat - Hotel Goyal Residency,Yes,Yes,3.9,418,Electronic City,Casual Dining,"Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast","Seafood, North Indian, Chinese, Biryani",800,Delivery,Electronic City
Nandanam Restaurant,Yes,No,3.8,50,Electronic City,"Takeaway, Delivery",Unknown,"North Indian, South Indian",400,Delivery,Electronic City
Bangalore Agarwal Bhavan,Yes,No,3.6,20,Electronic City,"Quick Bites, Sweet Shop",Unknown,"North Indian, Street Food, Mithai, Chinese",500,Delivery,Electronic City
Chai Cafe,Yes,No,3.6,10,Electronic City,Quick Bites,Unknown,"Fast Food, Rolls",300,Delivery,Electronic City
Sila Restaurant,Yes,No,3.8,514,Electronic City,Casual Dining,"Mocktails, Dal Makhani, Masala Papad, Kulcha, Panneer Butter Masala, Chilli Paneer, Chicken Biryani","Chinese, Seafood, North Indian, Biryani, Desserts",750,Delivery,Electronic City
VMS Star Biriyani,Yes,No,3.2,9,Electronic City,Casual Dining,Unknown,"Biryani, North Indian",500,Delivery,Electronic City
Parampara - The Veg Kitchen,Yes,No,3.7,255,Electronic City,Quick Bites,"Lassi, Vada Pav, Chole Bhature, Thali","North Indian, Chinese, Street Food",350,Delivery,Electronic City
Kettle On,Yes,No,3.7,110,Electronic City,Quick Bites,"Tea, Masala Poha, Chicken Roll, Pasta","Fast Food, Sandwich, Beverages",400,Delivery,Electronic City
Baskin Robbins,Yes,No,3.8,108,Electronic City,Food Court,Unknown,"Ice Cream, Desserts",250,Delivery,Electronic City
Cafe Coffee Day,Yes,No,3.2,75,Electronic City,Cafe,"Coffee, Burgers, Cappuccino, Latte, Smoked Chicken Sandwich","Cafe, Fast Food",900,Delivery,Electronic City
Five Star Chicken,Yes,No,3.2,66,Electronic City,Quick Bites,Unknown,"Fast Food, Burger",200,Delivery,Electronic City
Just Shawarma,Yes,No,3.9,176,Electronic City,Kiosk,"Whole Meat Shawarma, Wheat Shawarma, Pita Bread, Malgoum Shawarma, French Fries",Arabian,300,Delivery,Electronic City
The Milkshake Theory,Yes,No,3.6,10,Electronic City,Beverage Shop,Unknown,"Beverages, Fast Food",400,Delivery,Electronic City
Sunny's,Yes,No,3.0,13,Electronic City,Quick Bites,Unknown,"Sandwich, Fast Food, Salad, Bakery, Juices",300,Delivery,Electronic City
Cafe Palnad,Yes,No,4.0,92,Electronic City,Quick Bites,"Pizza Dosa, Chicken Kheema Dosa, Keema Dosa, Masala Dosa","South Indian, Fast Food",400,Delivery,Electronic City
Andhra Spicy Food Court,Yes,No,3.2,22,Electronic City,Quick Bites,Unknown,"Andhra, Biryani",400,Delivery,Electronic City
Esfahan Restaurant,Yes,No,3.5,148,Electronic City,Casual Dining,"Rolls, Mutton Biryani, Tawa Mutton, Chicken Roll, Laccha Paratha, Tawa Chicken","North Indian, Lucknowi, Mughlai, Biryani",700,Delivery,Electronic City
Kathi Junction,Yes,No,2.8,44,Electronic City,Quick Bites,Unknown,"Rolls, North Indian, Mughlai",400,Delivery,Electronic City
Melange - Hotel Ekaa,Yes,Yes,3.2,426,Electronic City,Casual Dining,"Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food","North Indian, Chinese, Continental, Mangalorean",900,Delivery,Electronic City
Satkar Restaurant,Yes,No,3.6,75,Electronic City,Quick Bites,Dal Fry,"North Indian, Chinese, Biryani, Seafood",350,Delivery,Electronic City
Yeruva Biriyani,Yes,No,3.5,40,Electronic City,Delivery,Unknown,"Biryani, Chinese",400,Delivery,Electronic City
Kolkata Famous Kathi Rolls,Yes,No,3.5,14,Electronic City,Quick Bites,Unknown,"Fast Food, Rolls",200,Delivery,Electronic City
Ambur Biriyani Classic,Yes,No,3.3,136,Electronic City,Casual Dining,Unknown,"Biryani, South Indian, North Indian",700,Delivery,Electronic City
Marley's Bistro,Yes,No,3.9,93,Electronic City,Casual Dining,"Burgers, Pancakes, Tea, Pasta, Coffee, Omelette, Crepe","Continental, European, Salad, Beverages, Italian, Burger",400,Delivery,Electronic City
Hyderabad Darbar,Yes,No,3.7,100,Electronic City,Casual Dining,Paneer Biryani,"Andhra, South Indian",700,Delivery,Electronic City
Hotel Sakti Saravana,Yes,No,3.8,67,Electronic City,Quick Bites,Unknown,"Tamil, South Indian",350,Delivery,Electronic City
Z Cafe,Yes,No,3.6,19,Electronic City,Quick Bites,Unknown,"Chinese, Fast Food, Beverages",300,Delivery,Electronic City
Swathi Restaurant - The Vintage Inn,Yes,No,3.8,36,Electronic City,Casual Dining,Unknown,"Andhra, North Indian",900,Delivery,Electronic City
Paratha House,Yes,No,3.6,33,Electronic City,Quick Bites,Unknown,"North Indian, Chinese",350,Delivery,Electronic City
The Mirchi,Yes,No,3.3,22,Electronic City,"Takeaway, Delivery",Unknown,"Chinese, North Indian, Bengali",400,Delivery,Electronic City
Prem's Biriyani,Yes,No,3.3,7,Electronic City,Quick Bites,Unknown,"Biryani, Fast Food",300,Delivery,Electronic City
Mast Punjabi Spice,Yes,No,2.9,34,Electronic City,"Takeaway, Delivery",Unknown,North Indian,400,Delivery,Electronic City
Thanima Garden Restaurant,Yes,No,3.6,163,Electronic City,Casual Dining,"Kadala Curry, Kerala Parotta, Tea, Paratha, Sea Food, Appam, Biryani","North Indian, Chinese, Kerala",500,Delivery,Electronic City
Bhukkads,Yes,No,3.2,63,Electronic City,Casual Dining,Chicken Biryani,"Chinese, North Eastern",400,Delivery,Electronic City
Karaikudi Restaurant,Yes,No,3.7,214,Electronic City,Quick Bites,"Paratha, Chicken Curry, Biryani",South Indian,300,Delivery,Electronic City
Mamaji's,Yes,No,3.6,453,Electronic City,Casual Dining,"Masala Chaach, Vegetable Biryani, Paratha, Thali, Buttermilk, Sweet Lassi, Paneer Parantha",North Indian,600,Delivery,Electronic City
Bangaliana,Yes,No,3.0,61,Electronic City,Casual Dining,"Luchi, Fish Fry",Bengali,600,Delivery,Electronic City
Tuba Rolls & Snacks,Yes,No,3.0,58,Electronic City,Quick Bites,Unknown,"Chinese, Fast Food, North Indian, Rolls",200,Delivery,Electronic City
Wangs Kitchen,Yes,No,2.5,55,Electronic City,"Takeaway, Delivery",Unknown,Chinese,1000,Delivery,Electronic City
New Food Magic,Yes,No,3.2,153,Electronic City,Casual Dining,"Roti, Rolls, Paratha, Chicken Roll","Andhra, Chinese, North Indian, South Indian",450,Delivery,Electronic City
Akshara,Yes,No,3.8,42,Electronic City,Casual Dining,Unknown,"North Indian, South Indian, Chinese",700,Delivery,Electronic City
Kittu's,Yes,Yes,4.2,800,Electronic City,Casual Dining,"Murgh Lababdar, Butter Chicken, Paneer Lababdar, Dal Makhani, Afghan Chicken, Chicken Achari Tikka, Lassi",North Indian,750,Delivery,Electronic City
EC Dine Restaurant,Yes,No,3.4,23,Electronic City,Casual Dining,Unknown,"South Indian, North Indian, Kerala",500,Delivery,Electronic City
Udupi Food Junction,Yes,No,3.5,9,Electronic City,Quick Bites,Unknown,"South Indian, North Indian",250,Delivery,Electronic City
She Brews,Yes,No,3.8,159,Electronic City,Cafe,"Coffee, Sandwich, Peri Peri Fries, Peri Peri Sizzler, White Sauce Pasta","Cafe, Continental, Thai, Chinese",400,Delivery,Electronic City
Maa Biryani Hyderabadi,Yes,No,2.6,59,Electronic City,Delivery,Unknown,Biryani,450,Delivery,Electronic City
Chef Baker's,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600,Delivery,Electronic City
Curries 'N' Phulkas,Yes,No,3.4,6,Electronic City,Quick Bites,Unknown,North Indian,250,Delivery,Electronic City
Donut Cafe,Yes,No,3.9,163,Electronic City,"Dessert Parlor, Quick Bites","Donut, Brownie, Hot Chocolate, Sandwiches","Desserts, Fast Food",250,Delivery,Electronic City
Halli Kitchen,Yes,No,2.5,63,Electronic City,Quick Bites,Unknown,South Indian,300,Delivery,Electronic City
Hotel Uma Bhai,Yes,No,3.7,38,Electronic City,Quick Bites,Unknown,North Indian,400,Delivery,Electronic City
Kettle & Kegs,Yes,No,3.1,16,Electronic City,Delivery,Unknown,"Tea, Beverages",200,Delivery,Electronic City
